Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-22,216,60,34,3,234,22,80,47,163
2026-08-23,214,279,67,11,170,59,213,35,96
2026-08-24,29,149,83,48,23,61,227,13,306
2026-08-25,31,91,160,49,25,16,325,6,97
2026-08-26,126,208,167,34,98,47,317,59,132
2026-08-27,70,87,54,38,88,20,180,27,221
2026-08-28,35,40,165,67,31,12,250,12,204
2026-08-29,62,258,62,5,49,68,201,14,113
2026-08-30,230,65,169,29,199,24,533,112,0
2026-08-31,164,64,101,49,218,19,308,87,188
2026-09-01,30,154,80,44,22,23,269,9,287
2026-09-02,71,75,111,48,85,15,326,39,158
2026-09-03,35,52,42,28,41,8,119,23,128
2026-09-04,135,155,115,25,133,54,312,29,63
2026-09-05,236,156,164,22,268,40,459,169,50
2026-09-06,139,273,37,16,173,118,56,88,154
2026-09-07,154,203,85,30,197,89,246,119,317
2026-09-08,120,192,43,8,90,28,82,55,52
2026-09-09,84,106,46,1,63,36,147,41,301
2026-09-10,101,134,140,3,118,29,441,50,52
2026-09-11,80,151,102,61,62,52,177,23,310
2026-09-12,136,177,132,17,111,70,204,56,71
2026-09-13,173,120,39,6,212,42,95,73,51
2026-09-14,35,188,132,60,45,45,296,28,127
2026-09-15,95,99,101,3,95,19,311,33,167
2026-09-16,107,117,30,14,145,18,96,63,271
2026-09-17,90,198,11,59,123,72,28,72,91
2026-09-18,89,45,176,36,80,10,338,40,291
2026-09-19,240,159,50,19,258,26,149,179,146
2026-09-20,99,109,152,29,131,25,325,64,55
